,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
192,Defector,18,5.57892,0.0,0.31778,0.0,17.57008,0.0,0.40649,0.0,0.0,9.23441,0.0,1.42795,0.0,14.32186,0.0,12.47024,0.0,0.0,,
193,Loner,18,56.25202,0.0,1.86526,0.0,4.54434,0.0,3.5497,0.0,0.0,24.8801,0.0,11.59593,0.0,26.55392,0.0,12.80185,0.0,0.0,,
194,Neither,18,0.00011,0.0,0.00538,0.0,0.25888,0.0,4.82751,0.0,0.0,466.93548,0.0,61.67735,0.0,61.88433,0.0,32.36424,0.0,0.0,,
195,Both,18,586.9746,0.0,5.94209,0.0,64.47755,0.0,1.66264,0.0,0.0,56.46666,0.0,1.00234,0.0,32.24665,0.0,3.52303,0.0,0.0,,
196,Defector,20,13.65564,0.0,9.01104,0.0,0.0,25.32386,0.0,18.65325,0.0,0.0,343.01838,0.0,27.28153,0.0,0.0,44.12007,0.0,25.5505,0.0,0.0
197,Loner,20,141.73444,0.0,5.03939,0.0,0.0,14.80227,0.0,11.85532,0.0,0.0,32.11208,0.0,26.09861,0.0,0.0,25.98632,0.0,17.68778,0.0,0.0
198,Neither,20,2e-05,0.0,0.00623,0.0,0.0,0.28494,0.0,5.44402,0.0,0.0,530.35024,0.0,65.48597,0.0,0.0,59.92291,0.0,33.31864,0.0,0.0
199,Both,20,564.21689,0.0,5.72388,0.0,0.0,62.22893,0.0,1.61266,0.0,0.0,53.88931,0.0,1.07058,0.0,0.0,34.89507,0.0,3.74004,0.0,0.0
200,Defector,2,106.30765,910.52117,,,,,,,,,,,,,,,,,,
201,Loner,2,942.30073,121.29472,,,,,,,,,,,,,,,,,,
